country,rank,account,title,link,followers,views_avg,likes_avg,comments_avg,shares_avg,engagement_per_view,engagement_per_1k_followers,kol_score,like_view_ratio,comment_view_ratio,share_view_ratio,follower_tier
All,1,billieeilish,BILLIE EILISH,https://www.tiktok.com/@billieeilish,41600000.0,95000000.0,18100000.0,151000.0,54800.0,0.19269263157894737,440.0432692307692,0.8492,0.19052631578947368,0.0015894736842105262,0.0005768421052631579,Mega (10M+)
All,2,badbunny,Bad Bunny,https://www.tiktok.com/@badbunny,13400000.0,33299999.999999996,7300000.0,101900.0,106800.0,0.2254864864864865,560.3507462686566,0.9048,0.21921921921921925,0.0030600600600600605,0.0032072072072072077,Mega (10M+)
All,3,chipmunksoftiktok,Chipmunks of TikTok,https://www.tiktok.com/@chipmunksoftiktok,11400000.0,25000000.0,3000000.0,21800.0,64200.0,0.12344,270.7017543859649,0.5556000000000001,0.12,0.000872,0.002568,Mega (10M+)
All,4,charlidamelio,charli d’amelio,https://www.tiktok.com/@charlidamelio,135400000.0,18700000.0,2600000.0,54700.0,35200.0,0.14384491978609626,19.866322008862628,0.38039999999999996,0.13903743315508021,0.002925133689839572,0.0018823529411764706,Mega (10M+)
All,5,yessicadcs,Yessica y Moises 🦜,https://www.tiktok.com/@yessicadcs,263700.0,16700000.0,1400000.0,16200.0,138400.0,0.09308982035928144,5895.335608646189,0.5152,0.08383233532934131,0.0009700598802395209,0.008287425149700598,Mid (100k-1M)
All,6,therock,The Rock,https://www.tiktok.com/@therock,49700000.0,24700000.0,3000000.0,30900.0,16400.0,0.12337246963562754,61.31388329979879,0.398,0.1214574898785425,0.0012510121457489879,0.0006639676113360324,Mega (10M+)
All,7,the_pruld,ThePruld,https://www.tiktok.com/@the_pruld,433300.0,12200000.0,2700000.0,36300.0,56600.0,0.22892622950819672,6445.649665358874,0.9466000000000001,0.22131147540983606,0.0029754098360655736,0.004639344262295082,Mid (100k-1M)
All,8,lukedonkin,Luke Donkin,https://www.tiktok.com/@lukedonkin,2000000.0,14000000.0,2400000.0,34000.0,54900.0,0.17777857142857142,1244.45,0.8488,0.17142857142857143,0.0024285714285714284,0.003921428571428571,Macro (1M-10M)
All,9,mastertingus,mastertingus,https://www.tiktok.com/@mastertingus,1300000.0,13400000.0,2000000.0,32500.0,44100.0,0.15497014925373134,1597.3846153846155,0.776,0.14925373134328357,0.002425373134328358,0.003291044776119403,Macro (1M-10M)
All,10,txt.bighitent,TOMORROW X TOGETHER,https://www.tiktok.com/@txt.bighitent,15300000.0,7200000.0,2200000.0,57200.0,31000.0,0.31780555555555556,149.55555555555554,0.8415999999999999,0.3055555555555556,0.007944444444444445,0.0043055555555555555,Mega (10M+)
All,11,besttoks,Best of TikTok,https://www.tiktok.com/@besttoks,1800000.0,55900000.0,1500000.0,3300.0,12700.0,0.027119856887298746,842.2222222222222,0.3758,0.026833631484794274,5.9033989266547405e-05,0.00022719141323792488,Macro (1M-10M)
All,12,machinegunkelly,Colson,https://www.tiktok.com/@machinegunkelly,3200000.0,17500000.0,1400000.0,26800.0,23300.0,0.08286285714285714,453.15625,0.4368,0.08,0.0015314285714285714,0.0013314285714285715,Macro (1M-10M)
All,13,jenniferkershner,Jennifer Kershner,https://www.tiktok.com/@jenniferkershner,12500.0,6400000.0,1600000.0,22600.0,62000.0,0.26321875,134768.0,0.9772,0.25,0.00353125,0.0096875,Micro (10k-100k)
All,14,noahschnapp,Noah Schnapp,https://www.tiktok.com/@noahschnapp,20100000.0,8600000.0,1800000.0,42000.0,11300.0,0.2155,92.20398009950249,0.738,0.20930232558139536,0.004883720930232558,0.001313953488372093,Mega (10M+)
All,15,bdylanhollis,B. Dylan Hollis,https://www.tiktok.com/@bdylanhollis,6400000.0,9100000.0,1500000.0,12400.0,46100.0,0.17126373626373625,243.515625,0.7474000000000001,0.16483516483516483,0.0013626373626373627,0.005065934065934066,Macro (1M-10M)
All,16,fisherbenny,Benjamin Bakke,https://www.tiktok.com/@fisherbenny,3700000.0,13100000.0,1100000.0,7000.0,41700.0,0.08768702290076336,310.4594594594595,0.4228,0.08396946564885496,0.000534351145038168,0.003183206106870229,Macro (1M-10M)
